"exposure"	"outcome"	"method"	"b"	"se"	"p"	"nsnp"
"Bone mineral density"	"ST2_CVDI"	"Inverse variance weighted"	0.021689393573019	0.0263688926317742	0.410771257000821	172
"Bone mineral density"	"t-PA_CVDI"	"Inverse variance weighted"	0.00250475608879704	0.0261138502915057	0.923586677993255	172
"Bone mineral density"	"TF_CVDI"	"Inverse variance weighted"	-0.0272952064337919	0.0287089326443938	0.341727962004336	172
"Bone mineral density"	"TIE2_CVDI"	"Inverse variance weighted"	0.0184663091437449	0.0304858977840011	0.54469217968379	172
"Bone mineral density"	"TM_CVDI"	"Inverse variance weighted"	0.00148508185203532	0.027273216777881	0.956575031216896	172
"Bone mineral density"	"TNF-R1_CVDI"	"Inverse variance weighted"	-0.0285098151051845	0.0243867421381095	0.242375322720165	172
"Bone mineral density"	"TNF-R2_CVDI"	"Inverse variance weighted"	-0.0165211785613889	0.0258197650776187	0.522260002842072	172
"Bone mineral density"	"TNFSF14_CVDI"	"Inverse variance weighted"	0.0119955650993747	0.0298110768208143	0.687399844778104	172
"Bone mineral density"	"TRAIL_CVDI"	"Inverse variance weighted"	0.00706207946481219	0.0308647552222499	0.819018739121238	172
"Bone mineral density"	"TRAIL-R2_CVDI"	"Inverse variance weighted"	-0.0380371583482044	0.0268779923582555	0.157016150928398	172
"Bone mineral density"	"TRANCE_CVDI"	"Inverse variance weighted"	0.00978420998696468	0.0344493911552024	0.776397413733587	172
"Bone mineral density"	"U-PAR_CVDI"	"Inverse variance weighted"	-0.0170416287573546	0.0242651177671076	0.482486015063255	172
"Bone mineral density"	"VEGF-A_CVDI"	"Inverse variance weighted"	-0.0215694308221747	0.0295676718444071	0.465699710010004	172
"Bone mineral density"	"VEGF-D_CVDI"	"Inverse variance weighted"	0.0239410753452417	0.027346468255092	0.38131697794216	172
